FisheryNum	FisheryName	FisheryNameLong	Year	StockGroup	Catch	PropinCatch
1	AlaskaT	'Alaska Troll'	1994	'ORCST'	29166	0.16465
1	AlaskaT	'Alaska Troll'	1995	'SEAK'	3052	0.02652
1	AlaskaT	'Alaska Troll'	1995	'NCBC'	22795	0.19809
1	AlaskaT	'Alaska Troll'	1995	'WCVI'	22357	0.19429
1	AlaskaT	'Alaska Troll'	1995	'GS'	1998	0.01737
1	AlaskaT	'Alaska Troll'	1995	'FR-early'	7693	0.06685
1	AlaskaT	'Alaska Troll'	1995	'FR-late'	46	0.00040
1	AlaskaT	'Alaska Troll'	1995	'PSD'	542	0.00471
1	AlaskaT	'Alaska Troll'	1995	'WACST'	9609	0.08351
1	AlaskaT	'Alaska Troll'	1995	'CR-bright'	18966	0.16482
1	AlaskaT	'Alaska Troll'	1995	'CR-sp&su'	3405	0.02959
1	AlaskaT	'Alaska Troll'	1995	'CR-tule'	727	0.00632
1	AlaskaT	'Alaska Troll'	1995	'ORCST'	23881	0.20753
1	AlaskaT	'Alaska Troll'	1996	'SEAK'	3642	0.03386
1	AlaskaT	'Alaska Troll'	1996	'NCBC'	27197	0.25280
1	AlaskaT	'Alaska Troll'	1996	'WCVI'	10614	0.09866
1	AlaskaT	'Alaska Troll'	1996	'GS'	2439	0.02267
1	AlaskaT	'Alaska Troll'	1996	'FR-early'	7447	0.06922
1	AlaskaT	'Alaska Troll'	1996	'FR-late'	80	0.00074
1	AlaskaT	'Alaska Troll'	1996	'PSD'	610	0.00567
1	AlaskaT	'Alaska Troll'	1996	'WACST'	8979	0.08346
1	AlaskaT	'Alaska Troll'	1996	'CR-bright'	21921	0.20376
1	AlaskaT	'Alaska Troll'	1996	'CR-sp&su'	3557	0.03306
1	AlaskaT	'Alaska Troll'	1996	'CR-tule'	2105	0.01956
1	AlaskaT	'Alaska Troll'	1996	'ORCST'	18991	0.17652
1	AlaskaT	'Alaska Troll'	1997	'SEAK'	5858	0.02640
1	AlaskaT	'Alaska Troll'	1997	'NCBC'	40634	0.18308
1	AlaskaT	'Alaska Troll'	1997	'WCVI'	43853	0.19759
1	AlaskaT	'Alaska Troll'	1997	'GS'	5820	0.02622
1	AlaskaT	'Alaska Troll'	1997	'FR-early'	15812	0.07124
1	AlaskaT	'Alaska Troll'	1997	'FR-late'	186	0.00084
1	AlaskaT	'Alaska Troll'	1997	'PSD'	988	0.00445
1	AlaskaT	'Alaska Troll'	1997	'WACST'	13558	0.06109
1	AlaskaT	'Alaska Troll'	1997	'CR-bright'	49538	0.22320
1	AlaskaT	'Alaska Troll'	1997	'CR-sp&su'	7310	0.03294
1	AlaskaT	'Alaska Troll'	1997	'CR-tule'	2758	0.01243
1	AlaskaT	'Alaska Troll'	1997	'ORCST'	35627	0.16052
1	AlaskaT	'Alaska Troll'	1998	'SEAK'	5944	0.03239
1	AlaskaT	'Alaska Troll'	1998	'NCBC'	32306	0.17606
1	AlaskaT	'Alaska Troll'	1998	'WCVI'	55500	0.30247
1	AlaskaT	'Alaska Troll'	1998	'GS'	6824	0.03719
1	AlaskaT	'Alaska Troll'	1998	'FR-early'	13166	0.07175
1	AlaskaT	'Alaska Troll'	1998	'FR-late'	702	0.00383
1	AlaskaT	'Alaska Troll'	1998	'PSD'	913	0.00498
1	AlaskaT	'Alaska Troll'	1998	'WACST'	8952	0.04879
1	AlaskaT	'Alaska Troll'	1998	'CR-bright'	30010	0.16355
1	AlaskaT	'Alaska Troll'	1998	'CR-sp&su'	6356	0.03464
1	AlaskaT	'Alaska Troll'	1998	'CR-tule'	481	0.00262
1	AlaskaT	'Alaska Troll'	1998	'ORCST'	22335	0.12173
1	AlaskaT	'Alaska Troll'	1999	'SEAK'	7117	0.05361
1	AlaskaT	'Alaska Troll'	1999	'NCBC'	30071	0.22654
1	AlaskaT	'Alaska Troll'	1999	'WCVI'	23474	0.17684
1	AlaskaT	'Alaska Troll'	1999	'GS'	7293	0.05494
1	AlaskaT	'Alaska Troll'	1999	'FR-early'	6638	0.05001
1	AlaskaT	'Alaska Troll'	1999	'FR-late'	88	0.00066
1	AlaskaT	'Alaska Troll'	1999	'PSD'	965	0.00727
1	AlaskaT	'Alaska Troll'	1999	'WACST'	4843	0.03648
1	AlaskaT	'Alaska Troll'	1999	'CR-bright'	31656	0.23848
1	AlaskaT	'Alaska Troll'	1999	'CR-sp&su'	5597	0.04216
1	AlaskaT	'Alaska Troll'	1999	'CR-tule'	1023	0.00771
1	AlaskaT	'Alaska Troll'	1999	'ORCST'	13977	0.10529
1	AlaskaT	'Alaska Troll'	2000	'SEAK'	7172	0.05354
1	AlaskaT	'Alaska Troll'	2000	'NCBC'	31639	0.23617
1	AlaskaT	'Alaska Troll'	2000	'WCVI'	8580	0.06405
1	AlaskaT	'Alaska Troll'	2000	'GS'	8617	0.06432
1	AlaskaT	'Alaska Troll'	2000	'FR-early'	9679	0.07225
1	AlaskaT	'Alaska Troll'	2000	'FR-late'	307	0.00230
1	AlaskaT	'Alaska Troll'	2000	'PSD'	1019	0.00760
1	AlaskaT	'Alaska Troll'	2000	'WACST'	5716	0.04267
1	AlaskaT	'Alaska Troll'	2000	'CR-bright'	33467	0.24982
1	AlaskaT	'Alaska Troll'	2000	'CR-sp&su'	8919	0.06658
1	AlaskaT	'Alaska Troll'	2000	'CR-tule'	830	0.00619
1	AlaskaT	'Alaska Troll'	2000	'ORCST'	18019	0.13450
1	AlaskaT	'Alaska Troll'	2001	'SEAK'	6871	0.05339
1	AlaskaT	'Alaska Troll'	2001	'NCBC'	27623	0.21464
1	AlaskaT	'Alaska Troll'	2001	'WCVI'	9403	0.07307
1	AlaskaT	'Alaska Troll'	2001	'GS'	9434	0.07331
1	AlaskaT	'Alaska Troll'	2001	'FR-early'	8359	0.06495
1	AlaskaT	'Alaska Troll'	2001	'FR-late'	128	0.00100
1	AlaskaT	'Alaska Troll'	2001	'PSD'	983	0.00764
1	AlaskaT	'Alaska Troll'	2001	'WACST'	4853	0.03771
1	AlaskaT	'Alaska Troll'	2001	'CR-bright'	30567	0.23752
1	AlaskaT	'Alaska Troll'	2001	'CR-sp&su'	10530	0.08182
1	AlaskaT	'Alaska Troll'	2001	'CR-tule'	773	0.00601
1	AlaskaT	'Alaska Troll'	2001	'ORCST'	19167	0.14894
1	AlaskaT	'Alaska Troll'	2002	'SEAK'	9787	0.03283
1	AlaskaT	'Alaska Troll'	2002	'NCBC'	38502	0.12914
1	AlaskaT	'Alaska Troll'	2002	'WCVI'	45054	0.15112
1	AlaskaT	'Alaska Troll'	2002	'GS'	17948	0.06020
1	AlaskaT	'Alaska Troll'	2002	'FR-early'	15781	0.05293
1	AlaskaT	'Alaska Troll'	2002	'FR-late'	448	0.00150
1	AlaskaT	'Alaska Troll'	2002	'PSD'	1697	0.00569
1	AlaskaT	'Alaska Troll'	2002	'WACST'	9309	0.03122
1	AlaskaT	'Alaska Troll'	2002	'CR-bright'	84241	0.28256
1	AlaskaT	'Alaska Troll'	2002	'CR-sp&su'	26302	0.08822
1	AlaskaT	'Alaska Troll'	2002	'CR-tule'	3575	0.01199
1	AlaskaT	'Alaska Troll'	2002	'ORCST'	45487	0.15257
1	AlaskaT	'Alaska Troll'	2003	'SEAK'	7163	0.02330
1	AlaskaT	'Alaska Troll'	2003	'NCBC'	33170	0.10791
1	AlaskaT	'Alaska Troll'	2003	'WCVI'	56945	0.18526
1	AlaskaT	'Alaska Troll'	2003	'GS'	14438	0.04697
1	AlaskaT	'Alaska Troll'	2003	'FR-early'	12705	0.04133
1	AlaskaT	'Alaska Troll'	2003	'FR-late'	621	0.00202
1	AlaskaT	'Alaska Troll'	2003	'PSD'	1363	0.00444
1	AlaskaT	'Alaska Troll'	2003	'WACST'	8727	0.02839
1	AlaskaT	'Alaska Troll'	2003	'CR-bright'	101073	0.32882
1	AlaskaT	'Alaska Troll'	2003	'CR-sp&su'	20161	0.06559
1	AlaskaT	'Alaska Troll'	2003	'CR-tule'	6358	0.02068
1	AlaskaT	'Alaska Troll'	2003	'ORCST'	44656	0.14528
1	AlaskaT	'Alaska Troll'	2004	'SEAK'	7888	0.02451
1	AlaskaT	'Alaska Troll'	2004	'NCBC'	38405	0.11932
1	AlaskaT	'Alaska Troll'	2004	'WCVI'	63425	0.19705
1	AlaskaT	'Alaska Troll'	2004	'GS'	16160	0.05021
1	AlaskaT	'Alaska Troll'	2004	'FR-early'	12630	0.03924
1	AlaskaT	'Alaska Troll'	2004	'FR-late'	399	0.00124
1	AlaskaT	'Alaska Troll'	2004	'PSD'	1693	0.00526
1	AlaskaT	'Alaska Troll'	2004	'WACST'	11223	0.03487
1	AlaskaT	'Alaska Troll'	2004	'CR-bright'	92043	0.28596
1	AlaskaT	'Alaska Troll'	2004	'CR-sp&su'	22318	0.06934
1	AlaskaT	'Alaska Troll'	2004	'CR-tule'	3523	0.01094
1	AlaskaT	'Alaska Troll'	2004	'ORCST'	52169	0.16208
1	AlaskaT	'Alaska Troll'	2005	'SEAK'	7369	0.02419
1	AlaskaT	'Alaska Troll'	2005	'NCBC'	37699	0.12376
1	AlaskaT	'Alaska Troll'	2005	'WCVI'	48259	0.15842
1	AlaskaT	'Alaska Troll'	2005	'GS'	14639	0.04806
1	AlaskaT	'Alaska Troll'	2005	'FR-early'	15283	0.05017
1	AlaskaT	'Alaska Troll'	2005	'FR-late'	248	0.00082
1	AlaskaT	'Alaska Troll'	2005	'PSD'	1408	0.00462
1	AlaskaT	'Alaska Troll'	2005	'WACST'	13471	0.04422
1	AlaskaT	'Alaska Troll'	2005	'CR-bright'	90995	0.29871
1	AlaskaT	'Alaska Troll'	2005	'CR-sp&su'	18572	0.06097
1	AlaskaT	'Alaska Troll'	2005	'CR-tule'	4213	0.01383
1	AlaskaT	'Alaska Troll'	2005	'ORCST'	52465	0.17223
1	AlaskaT	'Alaska Troll'	2006	'SEAK'	8983	0.03406
1	AlaskaT	'Alaska Troll'	2006	'NCBC'	39945	0.15145
1	AlaskaT	'Alaska Troll'	2006	'WCVI'	47505	0.18011
1	AlaskaT	'Alaska Troll'	2006	'GS'	14618	0.05542
1	AlaskaT	'Alaska Troll'	2006	'FR-early'	14392	0.05456
1	AlaskaT	'Alaska Troll'	2006	'FR-late'	161	0.00061
1	AlaskaT	'Alaska Troll'	2006	'PSD'	1433	0.00543
1	AlaskaT	'Alaska Troll'	2006	'WACST'	11824	0.04483
1	AlaskaT	'Alaska Troll'	2006	'CR-bright'	71505	0.27111
1	AlaskaT	'Alaska Troll'	2006	'CR-sp&su'	20598	0.07810
1	AlaskaT	'Alaska Troll'	2006	'CR-tule'	2955	0.01120
1	AlaskaT	'Alaska Troll'	2006	'ORCST'	29835	0.11312
1	AlaskaT	'Alaska Troll'	2007	'SEAK'	12931	0.05383
1	AlaskaT	'Alaska Troll'	2007	'NCBC'	46441	0.19332
1	AlaskaT	'Alaska Troll'	2007	'WCVI'	61903	0.25768
1	AlaskaT	'Alaska Troll'	2007	'GS'	15026	0.06255
1	AlaskaT	'Alaska Troll'	2007	'FR-early'	12039	0.05011
1	AlaskaT	'Alaska Troll'	2007	'FR-late'	131	0.00055
1	AlaskaT	'Alaska Troll'	2007	'PSD'	1625	0.00676
1	AlaskaT	'Alaska Troll'	2007	'WACST'	10909	0.04541
1	AlaskaT	'Alaska Troll'	2007	'CR-bright'	41669	0.17345
1	AlaskaT	'Alaska Troll'	2007	'CR-sp&su'	16316	0.06792
1	AlaskaT	'Alaska Troll'	2007	'CR-tule'	659	0.00274
1	AlaskaT	'Alaska Troll'	2007	'ORCST'	20584	0.08569
1	AlaskaT	'Alaska Troll'	2008	'SEAK'	4720	0.03741
1	AlaskaT	'Alaska Troll'	2008	'NCBC'	29348	0.23262
1	AlaskaT	'Alaska Troll'	2008	'WCVI'	22064	0.17489
1	AlaskaT	'Alaska Troll'	2008	'GS'	7251	0.05747
1	AlaskaT	'Alaska Troll'	2008	'FR-early'	7896	0.06259
1	AlaskaT	'Alaska Troll'	2008	'FR-late'	23	0.00018
1	AlaskaT	'Alaska Troll'	2008	'PSD'	816	0.00647
1	AlaskaT	'Alaska Troll'	2008	'WACST'	6536	0.05180
1	AlaskaT	'Alaska Troll'	2008	'CR-bright'	29191	0.23137
1	AlaskaT	'Alaska Troll'	2008	'CR-sp&su'	11483	0.09102
1	AlaskaT	'Alaska Troll'	2008	'CR-tule'	66	0.00052
1	AlaskaT	'Alaska Troll'	2008	'ORCST'	6768	0.05364
1	AlaskaT	'Alaska Troll'	2009	'SEAK'	5667	0.03565
1	AlaskaT	'Alaska Troll'	2009	'NCBC'	28063	0.17655
1	AlaskaT	'Alaska Troll'	2009	'WCVI'	18184	0.11439
1	AlaskaT	'Alaska Troll'	2009	'GS'	10619	0.06680
1	AlaskaT	'Alaska Troll'	2009	'FR-early'	11379	0.07158
1	AlaskaT	'Alaska Troll'	2009	'FR-late'	223	0.00140
1	AlaskaT	'Alaska Troll'	2009	'PSD'	933	0.00587
1	AlaskaT	'Alaska Troll'	2009	'WACST'	8033	0.05053
1	AlaskaT	'Alaska Troll'	2009	'CR-bright'	50371	0.31688
1	AlaskaT	'Alaska Troll'	2009	'CR-sp&su'	14829	0.09329
1	AlaskaT	'Alaska Troll'	2009	'CR-tule'	0	0.00000
1	AlaskaT	'Alaska Troll'	2009	'ORCST'	10658	0.06705
1	AlaskaT	'Alaska Troll'	2010	'SEAK'	5012	0.02819
